# 仮名 → MFA 日本語音響モデルの音素列（TR-ALN-07）。
#
# **この写像をコードに埋め込まない。** 実行時に g2p を持ち込まないための辞書で、
# 録音リストの各項目が持つ「読み」から、アライナへ渡す音素列を直接構成する。
#
# 音素セットの正本は MFA の `phones.txt`（86 エントリ）。IPA 表記で、
# 長音は `ː`、口蓋化は `ʲ`。**単独音は1モーラなので長音・促音の記号は使わない。**
#
# 書式: 仮名 <TAB> 音素を半角空白で区切ったもの
#
# 規約として決めたところ:
#   - **う は既定で `ɯ`。ただし す / つ / ず だけ `ɨ`**（MFA が歯茎音の後で中舌にする）
#   - **き 行は `c`、ぎ 行は `ɟ`**（口蓋化した k / ɡ を MFA は別音素にしている）
#   - **ざ 行は `dz`、じ 行は `dʑ`**（語頭なので破擦音。単独音は常に語頭）
#   - **ふぃ は `ɸʲ`、ヴぃ は `vʲ`**
#   - **を は `o`。** 現代語の読みに合わせた。[wo] と読む人もいるが、
#     `w` を書いて [o] と読まれるより、`o` を書いて [wo] と読まれるほうが害が小さい
#     （余った [w] は先頭の無音側へ吸われる。TR-ALN-09 (a) が前後の無音を自由にしている）
#   - **ん は `ɴ`。** MFA の音素セットは撥音を独立に持つ
あ	a
い	i
う	ɯ
え	e
お	o
ん	ɴ
ち	tɕ i
ちゃ	tɕ a
ちゅ	tɕ ɯ
ちょ	tɕ o
ぎ	ɟ i
ぎゃ	ɟ a
ぎゅ	ɟ ɯ
ぎょ	ɟ o
つ	ts ɨ
ぴ	pʲ i
ぴゃ	pʲ a
ぴゅ	pʲ ɯ
ぴょ	pʲ o
り	ɾʲ i
りゃ	ɾʲ a
りゅ	ɾʲ ɯ
りょ	ɾʲ o
に	ɲ i
にゃ	ɲ a
にゅ	ɲ ɯ
にょ	ɲ o
ら	ɾ a
る	ɾ ɯ
れ	ɾ e
ろ	ɾ o
ひ	ç i
ひゃ	ç a
ひゅ	ç ɯ
ひょ	ç o
び	bʲ i
びゃ	bʲ a
びゅ	bʲ ɯ
びょ	bʲ o
ば	b a
ぶ	b ɯ
べ	b e
ぼ	b o
だ	d a
で	d e
ど	d o
が	ɡ a
ぐ	ɡ ɯ
げ	ɡ e
ご	ɡ o
ふ	ɸ ɯ
は	h a
へ	h e
ほ	h o
か	k a
く	k ɯ
け	k e
こ	k o
じ	dʑ i
じゃ	dʑ a
じゅ	dʑ ɯ
じょ	dʑ o
ま	m a
む	m ɯ
め	m e
も	m o
な	n a
ぬ	n ɯ
ね	n e
の	n o
ぱ	p a
ぷ	p ɯ
ぺ	p e
ぽ	p o
さ	s a
す	s ɨ
せ	s e
そ	s o
し	ɕ i
しゃ	ɕ a
しゅ	ɕ ɯ
しょ	ɕ o
た	t a
て	t e
と	t o
わ	w a
を	o
や	j a
ゆ	j ɯ
よ	j o
き	c i
きゃ	c a
きゅ	c ɯ
きょ	c o
ざ	dz a
ず	dz ɨ
ぜ	dz e
ぞ	dz o
み	mʲ i
みゃ	mʲ a
みゅ	mʲ ɯ
みょ	mʲ o
ちぇ	tɕ e
ぎぇ	ɟ e
つぁ	ts a
つぃ	ts i
つぇ	ts e
つぉ	ts o
てぃ	tʲ i
てぇ	tʲ e
てゃ	tʲ a
てゅ	tʲ ɯ
てょ	tʲ o
ぴぇ	pʲ e
りぇ	ɾʲ e
にぇ	ɲ e
ひぇ	ç e
でぃ	dʲ i
でぇ	dʲ e
でゃ	dʲ a
でゅ	dʲ ɯ
でょ	dʲ o
びぇ	bʲ e
どぅ	d ɯ
ふぁ	ɸ a
ふぃ	ɸʲ i
ふぇ	ɸ e
ふぉ	ɸ o
じぇ	dʑ e
すぃ	s i
しぇ	ɕ e
とぅ	t ɯ
うぃ	w i
うぇ	w e
うぉ	w o
ヴ	v ɯ
ヴぁ	v a
ヴぃ	vʲ i
ヴぇ	v e
ヴぉ	v o
いぇ	j e
きぇ	c e
ずぃ	dz i
みぇ	mʲ e
